PM10 ( µg/m3 ),SO2 ( µg/m3 ),NO2 ( µg/m3 ),NOX ( µg/m3 ),PM 2.5 ( µg/m3 ),kalite
52.26,33.07,15.86,36.13,18.88,0
51.62,19.12,12.32,34.28,15.93,0
52.26,18.63,21.73,41.08,25.03,0
52.26,14.71,21.73,41.08,8.46,0
52.26,24.28,21.73,41.08,28.64,0
52.26,45.82,21.73,41.08,60.28,0
52.26,51.87,21.73,41.08,81.09,0
52.26,22.38,21.73,41.08,29.8,0
52.26,24.04,21.73,41.08,33.38,0
19.5,16.7,21.73,41.08,6.51,1
25.72,18.81,21.73,41.08,9.05,1
59.42,34.44,21.73,41.08,30.5,0
79.46,30.56,21.73,41.08,38.13,0
116.75,50.26,21.73,41.08,71.7,0
79.16,39.38,21.73,41.08,44.31,0
84.16,37.19,21.73,41.08,51.1,0
115.18,34.47,21.73,41.08,67.7,0
83.14,21.35,21.73,41.08,45.5,0
67.94,30.64,21.73,41.08,41.33,0
111.93,47.52,21.73,41.08,69.87,0
46.79,25.72,21.73,41.08,23.21,1
43.64,33.11,21.73,41.08,29.24,1
27.93,20.88,21.73,41.08,12.5,1
61.53,38.87,21.73,41.08,32.24,0
77.52,36.05,21.73,41.08,44.88,0
39.6,27.62,21.73,41.08,21.14,1
92.06,41.36,21.73,41.08,39.39,0
112.09,59.05,21.73,41.08,66.39,0
139.81,58.35,21.73,41.08,90.97,0
51.7,26.91,21.73,41.08,30.29,0
100.62,35.24,21.73,41.08,61.58,0
38.52,20.84,21.73,41.08,20.37,1
42.77,30.43,21.73,41.08,15.13,1
100.88,30.43,21.73,41.08,61.34,0
136.48,30.43,21.73,41.08,79.66,0
148.75,30.43,21.73,41.08,91.21,0
67.23,30.43,21.73,41.08,33.71,0
40.99,30.43,21.73,41.08,14.3,1
22.34,30.43,21.73,41.08,10.35,1
27.95,30.43,21.73,41.08,7.16,1
25.66,30.43,21.73,41.08,8.58,1
42.97,30.43,21.73,41.08,20.49,1
80.29,30.43,21.73,41.08,49.64,0
172.27,30.43,21.73,41.08,130.47,0
108.85,30.43,21.73,41.08,83.98,0
57.05,22.78,21.73,41.08,30.32,0
73.32,26.09,21.73,41.08,36.97,0
43.84,20.65,21.73,41.08,24.04,1
39.45,14.98,21.73,41.08,18.11,1
60.64,26.97,21.73,41.08,34.4,0
119.08,54.79,21.73,41.08,55.13,0
103.49,113.82,21.73,41.08,50.35,0
134.69,113.89,21.73,41.08,75.2,0
36.67,39.23,21.73,41.08,13.51,1
27.77,30.09,21.73,41.08,9.59,1
29.08,38.38,21.73,41.08,10.15,1
118.61,108.91,21.73,41.08,62.62,0
68.41,56.97,21.73,41.08,28.14,0
129.03,108.37,21.73,41.08,53.41,0
96.88,78.44,21.73,41.08,30.23,0
43.78,35.86,21.73,41.08,12.67,1
54.32,47.81,21.73,41.08,21.55,0
41.27,38.25,21.73,41.08,13.8,1
123.03,87.68,21.73,41.08,53,0
144.36,101.62,21.73,41.08,62.09,0
90.35,67.88,21.73,41.08,28.63,0
 66.87,52.75,21.73,41.08,21.66,0
39.16,41.04,21.73,41.08,10.62,1
85.62,70.15,21.73,41.08,40.31,0
78.07,57.82,21.73,41.08,26.38,0
114.9,75.72,21.73,41.08,46.35,0
39.76,50.19,21.73,41.08,11.83,1
73.87,56.73,37.89,71.29,36.28,0
88.26,64.35,35.29,68.35,39.55,0
98.85,72.95,42.85,75.58,50.45,0
89.4,57.85,39.85,73.45,39.43,0
86.29,60.55,34.04,58.06,37.98,0
25.43,20.4,17.4,27.45,6.09,1
27.37,25.41,18.66,30.38,6.47,1
48.7,57.09,26.6,41.37,19.48,1
31.85,36.97,25.73,41.89,11.95,1
39.23,51.6,26.5,36.18,19.8,1
60.04,66.73,31.4,44.72,31.85,0
 85.16,83.17,34.11,55.59,43.39,0
98.62,84.58,38.48,52.9,55.93,0
59.65,27.69,26.36,37.68,42.51,0
37.42,26.19,17.73,24.05,18.64,1
58.65,36.66,23.99,34.3,25.58,0
68.18,26.02,26.14,40.31,35.61,0
34.43,20.53,23.37,43.55,18.98,1
16.58,24.11,16.2,25.11,4.86,1
52.26,38.33,22.79,29.96,17,0
78.11,51.92,26.24,41.26,40.43,0
52.26,30.43,11.02,20.38,20.85,0
52.26,30.43,12.87,19.88,22.75,0
52.26,30.43,13.33,23.53,11.44,0
52.26,30.43,13.21,24.6,36.31,0
52.26,30.43,8.51,11.86,13.25,0
52.26,30.43,12.56,24.57,22.37,0
52.26,30.43,10.07,15.78,19.12,0
52.26,30.43,11.88,17.37,21.45,0
52.26,30.43,9.57,17.2,20.42,0
52.26,30.43,14.48,23.24,20.42,0
52.26,30.43,17.1,25.54,20.42,0
52.26,30.43,13.88,18.97,20.42,0
52.26,30.43,16.29,26.2,39.04,0
52.26,30.43,17.53,28.63,24.89,0
52.26,30.43,12.96,20.43,8.26,0
52.26,30.43,8.85,15.19,45.48,0
52.26,30.43,15.4,26.36,20.42,0
52.26,30.43,14.82,24.84,20.42,0
52.26,30.43,12.37,18.91,20.42,0
52.26,30.43,15.07,24.44,20.42,0
52.26,30.43,11.59,17.26,20.42,0
52.26,30.43,9.42,15.37,20.42,0
52.26,30.43,9.3,13.69,20.42,0
52.26,30.43,8.08,10.97,20.42,0
52.26,30.43,12.91,22.29,20.42,0
52.26,30.43,15.13,24.97,20.42,0
52.26,30.43,16.76,26.61,20.42,0
52.26,30.43,14.46,21.68,20.42,0
52.26,30.43,14.31,21.91,20.42,0
52.26,30.43,12.98,21.89,20.42,0
31.47,20.31,22.45,34.76,20.42,1
27.5,18.79,19.05,26.87,20.42,1
24.8,17.74,16.26,22.98,20.42,1
21.57,14.1,21.75,37.1,20.42,1
30.89,17.28,20.04,33.03,20.42,1
48.45,22.96,24.55,38.29,22.39,1
36.96,26.52,27.93,44.16,15.55,1
46.38,30.14,26.89,37.17,19.94,1
33.86,25.39,21.91,33.53,14.09,1
43.18,30.03,24.72,34.88,17.81,1
47.14,29.07,30.05,44.02,18.19,1
86.85,23.51,36.3,57.41,24.04,0
89.35,17.17,30.04,45.27,17.14,0
50,12.47,26.79,37.34,12.32,0
77.93,9.97,31.45,49.44,13.9,0
106.67,78.52,28.12,41.43,19.51,0
89.04,30.43,21.25,29.52,16.39,0
106.56,30.43,26.77,39.6,21.87,0
82,30.43,19.38,25.21,18.81,0
111.58,30.43,32.16,51.66,19.33,0
120.15,30.43,26.72,39.65,23.26,0
39.88,30.43,20.1,32.43,9.11,1
14.52,30.43,9.66,13.02,6,1
15.71,14.5,7.69,9.46,7.61,1
12.6,13.88,9.21,11.07,20.42,1
12.96,30.43,7.34,8.46,20.42,1
21.63,6.98,19.89,29.55,10.48,1
25.71,5.6,20.42,33.1,10.09,1
28.83,9.73,21.89,33.4,13.94,1
29.7,16.76,24.75,39.52,14.58,1
30.01,14.42,21.94,31.81,14.16,1
26.82,30.43,19.89,29.8,20.42,1
20.12,3.83,22.02,34.67,10.89,1
43.71,14.05,23.62,39.56,22.77,1
42.12,12.29,21.73,41.08,19.96,1
42.39,12.56,29.47,43.06,11.93,1
42.37,8.96,30.68,36.45,10.01,1
56.85,8.5,20.63,24.3,16.71,0
67.18,7.5,23.12,27.21,22.57,0
53.43,22.28,26.54,40.51,15.76,0
86.6,13.35,25.86,36.33,19.59,0
76.54,6.56,20.64,32.21,17.84,0
51,10.59,22.66,40.05,8.98,0
29.94,7.46,15.8,23.65,9.97,1
31.24,6.9,17.32,26.8,11.03,1
42.41,7.59,20.95,30.91,11.26,1
55.84,8.16,21.89,35.88,10.88,0
90.88,16.85,23.14,39.08,13.42,0
75.8,12.18,25.25,40.77,14.96,0
68.41,22.89,27.83,49.83,16.61,0
55.72,8.57,27.82,44.7,14.56,0
50.78,7.55,18.42,27.49,13.14,0
45.29,18.81,21.29,31.96,11.16,1
46.22,8.09,24.71,36.68,16.78,1
41.89,10.06,23.15,39.57,10.01,1
41.28,6.47,20.05,31.27,13.89,1
42.67,8.79,19.07,32.43,14.17,1
32.31,7.89,16.9,23.36,3.81,1
42.65,8.09,14.98,22.15,8.94,1
55.42,21.25,25.92,35.19,11.26,0
56.92,13.65,25.51,35.12,12.85,0
